market_id,tier,anomaly_family,metric_name,row_count,alert_count,max_severity,max_robust_z,max_percentile_rank,first_alert_at,latest_alert_at,limitation,claim_scope
0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,all_tiers,active_wallet_activity,active_wallets,1,0,none,,,,,aggregate diagnostic live-style active-wallet tier count; no wallet addresses,descriptive_monitor_alert_summary_only
0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,all_tiers,concentration,hhi_concentration,1,0,none,,,,,aggregate diagnostic live-style concentration input; no wallet-performance claim,descriptive_monitor_alert_summary_only
0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,all_tiers,concentration,top_tier_share,1,0,none,,,,,aggregate diagnostic live-style concentration input; no wallet-performance claim,descriptive_monitor_alert_summary_only
0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,all_tiers,wallet_tier_activity,log1p_total_observed_amount_usd,1,0,none,,,,,aggregate diagnostic live-style wallet-tier input; no wallet addresses or wallet-performance claim,descriptive_monitor_alert_summary_only
0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,all_tiers,active_wallet_activity,active_wallets,1,0,none,,,,,aggregate diagnostic live-style active-wallet tier count; no wallet addresses,descriptive_monitor_alert_summary_only
0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,all_tiers,concentration,hhi_concentration,1,0,none,,,,,aggregate diagnostic live-style concentration input; no wallet-performance claim,descriptive_monitor_alert_summary_only
0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,all_tiers,concentration,top_tier_share,1,0,none,,,,,aggregate diagnostic live-style concentration input; no wallet-performance claim,descriptive_monitor_alert_summary_only
0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,all_tiers,wallet_tier_activity,log1p_total_observed_amount_usd,1,0,none,,,,,aggregate diagnostic live-style wallet-tier input; no wallet addresses or wallet-performance claim,descriptive_monitor_alert_summary_only
0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,all_tiers,active_wallet_activity,active_wallets,1,0,none,,,,,aggregate diagnostic live-style active-wallet tier count; no wallet addresses,descriptive_monitor_alert_summary_only
0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,all_tiers,concentration,hhi_concentration,1,0,none,,,,,aggregate diagnostic live-style concentration input; no wallet-performance claim,descriptive_monitor_alert_summary_only
0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,all_tiers,concentration,top_tier_share,1,0,none,,,,,aggregate diagnostic live-style concentration input; no wallet-performance claim,descriptive_monitor_alert_summary_only
0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,all_tiers,wallet_tier_activity,log1p_total_observed_amount_usd,1,0,none,,,,,aggregate diagnostic live-style wallet-tier input; no wallet addresses or wallet-performance claim,descriptive_monitor_alert_summary_only
