date,bs_polymarket,bs_fivethirtyeight,bs_always_50,bs_prior_day,forecast_polymarket,forecast_fivethirtyeight,forecast_always_50,forecast_prior_day
2024-03-01,0.225625,0.33942450780225,0.25,0.25,0.525,0.41739849999999995,0.5,0.5
2024-03-02,0.225625,0.33659606856099994,0.25,0.225625,0.525,0.419831,0.5,0.525
2024-03-03,0.21622499999999997,0.33429847241025,0.25,0.225625,0.535,0.4218145,0.5,0.525
2024-03-04,0.21622499999999997,0.33398979264225,0.25,0.21622499999999997,0.535,0.42208150000000005,0.5,0.535
2024-03-05,0.21622499999999997,0.33375808752399994,0.25,0.21622499999999997,0.535,0.422282,0.5,0.535
2024-03-06,0.21622499999999997,0.334337211961,0.25,0.21622499999999997,0.535,0.421781,0.5,0.535
2024-03-07,0.21622499999999997,0.331352199424,0.25,0.21622499999999997,0.535,0.42436799999999997,0.5,0.535
2024-03-08,0.21622499999999997,0.329867584281,0.25,0.21622499999999997,0.535,0.425659,0.5,0.535
2024-03-09,0.21622499999999997,0.33057382698024995,0.25,0.21622499999999997,0.535,0.42504450000000005,0.5,0.535
2024-03-10,0.21622499999999997,0.33135507759025007,0.25,0.21622499999999997,0.535,0.42436549999999995,0.5,0.535
2024-03-11,0.235225,0.33180652870224997,0.25,0.21622499999999997,0.515,0.4239735,0.5,0.535
2024-03-12,0.235225,0.3321741353702499,0.25,0.235225,0.515,0.42365450000000004,0.5,0.515
2024-03-13,0.235225,0.3302777912039999,0.25,0.235225,0.515,0.425302,0.5,0.515
2024-03-14,0.235225,0.327163408324,0.25,0.235225,0.515,0.428018,0.5,0.515
2024-03-15,0.235225,0.32868034294224996,0.25,0.235225,0.515,0.4266935,0.5,0.515
2024-03-16,0.235225,0.328366819089,0.25,0.235225,0.515,0.426967,0.5,0.515
2024-03-17,0.235225,0.3272555039062499,0.25,0.235225,0.515,0.4279375,0.5,0.515
2024-03-18,0.235225,0.3295041266002499,0.25,0.235225,0.515,0.4259755,0.5,0.515
2024-03-19,0.235225,0.33063017502025005,0.25,0.235225,0.515,0.42499549999999997,0.5,0.515
2024-03-20,0.235225,0.32939851455624997,0.25,0.235225,0.515,0.42606750000000004,0.5,0.515
2024-03-21,0.235225,0.32874398304399993,0.25,0.235225,0.515,0.426638,0.5,0.515
2024-03-22,0.235225,0.327187432009,0.25,0.235225,0.515,0.427997,0.5,0.515
2024-03-23,0.235225,0.32727495432024994,0.25,0.235225,0.515,0.42792050000000004,0.5,0.515
2024-03-24,0.255025,0.32805115380625005,0.25,0.235225,0.495,0.42724249999999997,0.5,0.515
2024-03-25,0.255025,0.3280574541689999,0.25,0.255025,0.495,0.42723700000000003,0.5,0.495
2024-03-26,0.255025,0.32774594508099997,0.25,0.255025,0.495,0.42750900000000003,0.5,0.495
2024-03-27,0.255025,0.32291658630625,0.25,0.255025,0.495,0.43174250000000003,0.5,0.495
2024-03-28,0.255025,0.3234589314902499,0.25,0.255025,0.495,0.4312655,0.5,0.495
2024-03-29,0.255025,0.322980802596,0.25,0.255025,0.495,0.43168599999999996,0.5,0.495
2024-03-30,0.265225,0.32297057302500004,0.25,0.255025,0.485,0.431695,0.5,0.495
2024-03-31,0.265225,0.3236341254322499,0.25,0.265225,0.485,0.43111150000000004,0.5,0.485
2024-04-01,0.265225,0.32356472475625003,0.25,0.265225,0.485,0.43117249999999996,0.5,0.485
2024-04-02,0.265225,0.329597699236,0.25,0.265225,0.485,0.425894,0.5,0.485
