candidate_id,candidate_kind,timestamp_utc,market_id,source_row_count,anomaly_families,metric_names,max_percentile_rank,max_baseline_observations,has_wallet_amount_feature,has_concentration_feature,has_event_context,market_only_diagnostic,review_status,claim_scope,allowed_interpretation,limitation
monitor_shadow_candidate_20260522_213000_502f81b320df,shadow_percentile_candidate,2026-05-22T21:30:00Z,0x0a99479228e93524b25676ae69b94bd3f4278a6bca8d8c265c84d24755399cf5,2,market_move,absolute_midpoint_change,1.0,21,False,False,False,True,candidate,diagnostic_sensitivity_review_only,Market-only diagnostic shadow candidate; no wallet-pattern label is triggered.,"Diagnostic sensitivity candidate only; not a Rule C alert, not a probability model, and not a trading signal."
monitor_shadow_candidate_20260522_213000_f85f7cc738cd,shadow_percentile_candidate,2026-05-22T21:30:00Z,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,2,market_move,absolute_midpoint_change,1.0,21,False,False,False,True,candidate,diagnostic_sensitivity_review_only,Market-only diagnostic shadow candidate; no wallet-pattern label is triggered.,"Diagnostic sensitivity candidate only; not a Rule C alert, not a probability model, and not a trading signal."
monitor_shadow_candidate_20260522_213000_e78415082e31,shadow_percentile_candidate,2026-05-22T21:30:00Z,0x4167e22670f31e5f93d132f78108f3fae809bd15cadf78983eff096845ed1415,2,market_move,absolute_midpoint_change,1.0,21,False,False,False,True,candidate,diagnostic_sensitivity_review_only,Market-only diagnostic shadow candidate; no wallet-pattern label is triggered.,"Diagnostic sensitivity candidate only; not a Rule C alert, not a probability model, and not a trading signal."
monitor_shadow_candidate_20260522_213000_aee3a75a2053,shadow_percentile_candidate,2026-05-22T21:30:00Z,0x4e4f77e7dbf4cab666e9a1943674d7ae66348e862df03ea6f44b11eb95731928,2,market_move,absolute_midpoint_change,1.0,21,False,False,False,True,candidate,diagnostic_sensitivity_review_only,Market-only diagnostic shadow candidate; no wallet-pattern label is triggered.,"Diagnostic sensitivity candidate only; not a Rule C alert, not a probability model, and not a trading signal."
monitor_shadow_candidate_20260522_213000_eec80e29aef3,shadow_percentile_candidate,2026-05-22T21:30:00Z,0x51f624dbbf14f9edb575fef1be6f7a303751de70783fa144fce27b957452c803,2,market_move,absolute_midpoint_change,1.0,21,False,False,False,True,candidate,diagnostic_sensitivity_review_only,Market-only diagnostic shadow candidate; no wallet-pattern label is triggered.,"Diagnostic sensitivity candidate only; not a Rule C alert, not a probability model, and not a trading signal."
monitor_shadow_candidate_20260522_213000_56b3ee6d79c7,shadow_percentile_candidate,2026-05-22T21:30:00Z,0x6bd56627aa21311850825edb27e53434a0e17a4f782be0086bc07f71eee00d0d,2,market_move,absolute_midpoint_change,1.0,21,False,False,False,True,candidate,diagnostic_sensitivity_review_only,Market-only diagnostic shadow candidate; no wallet-pattern label is triggered.,"Diagnostic sensitivity candidate only; not a Rule C alert, not a probability model, and not a trading signal."
monitor_shadow_candidate_20260522_213000_b5b96a4fdd43,shadow_percentile_candidate,2026-05-22T21:30:00Z,0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,2,market_move,absolute_midpoint_change,1.0,21,False,False,False,True,candidate,diagnostic_sensitivity_review_only,Market-only diagnostic shadow candidate; no wallet-pattern label is triggered.,"Diagnostic sensitivity candidate only; not a Rule C alert, not a probability model, and not a trading signal."
monitor_shadow_candidate_20260522_213000_361c870eb44d,shadow_percentile_candidate,2026-05-22T21:30:00Z,0xbb4d51e6364066d92eb6f9b8413dd7193de70966736044463b205834805a1f3b,2,market_move,absolute_midpoint_change,1.0,21,False,False,False,True,candidate,diagnostic_sensitivity_review_only,Market-only diagnostic shadow candidate; no wallet-pattern label is triggered.,"Diagnostic sensitivity candidate only; not a Rule C alert, not a probability model, and not a trading signal."
monitor_shadow_candidate_20260522_213000_aa1442c29155,shadow_percentile_candidate,2026-05-22T21:30:00Z,0xd5d9fc47718bd553592d126b1fa5e87183d27f3936975b0c04cc0f2dec1f1bb4,2,market_move,absolute_midpoint_change,1.0,21,False,False,False,True,candidate,diagnostic_sensitivity_review_only,Market-only diagnostic shadow candidate; no wallet-pattern label is triggered.,"Diagnostic sensitivity candidate only; not a Rule C alert, not a probability model, and not a trading signal."
monitor_shadow_candidate_20260522_213000_03a58458a7b5,shadow_percentile_candidate,2026-05-22T21:30:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,2,market_move,absolute_midpoint_change,1.0,21,False,False,False,True,candidate,diagnostic_sensitivity_review_only,Market-only diagnostic shadow candidate; no wallet-pattern label is triggered.,"Diagnostic sensitivity candidate only; not a Rule C alert, not a probability model, and not a trading signal."
