case_set_id,case_unit,forecast_source_id,forecast_source_label,source_family,canonical_case_id,case_label,outcome_value,forecast_probability,brier_loss,is_polymarket,probability_note,source_artifact,limitation
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_alabama_rieke_republican,Alabama,1.0,0.9875,0.0001562499999999989,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_alaska_rieke_republican,Alaska,1.0,0.955,0.002025000000000004,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_arizona_rieke_republican,Arizona,1.0,0.795,0.042024999999999986,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_arkansas_rieke_republican,Arkansas,1.0,0.9955,2.0249999999999537e-05,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_california_rieke_republican,California,0.0,0.0135,0.00018224999999999998,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_colorado_rieke_republican,Colorado,0.0,0.036,0.0012959999999999998,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_connecticut_rieke_republican,Connecticut,0.0,0.016,0.000256,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_delaware_rieke_republican,Delaware,0.0,0.0155,0.00024024999999999999,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_florida_rieke_republican,Florida,1.0,0.955,0.002025000000000004,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_georgia_rieke_republican,Georgia,1.0,0.68,0.10239999999999996,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_hawaii_rieke_republican,Hawaii,0.0,0.018,0.00032399999999999996,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_idaho_rieke_republican,Idaho,1.0,0.9915,7.224999999999918e-05,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_illinois_rieke_republican,Illinois,0.0,0.013,0.000169,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_indiana_rieke_republican,Indiana,1.0,0.982,0.00032400000000000056,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_iowa_rieke_republican,Iowa,1.0,0.845,0.024025000000000008,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_kansas_rieke_republican,Kansas,1.0,0.978,0.00048400000000000087,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_kentucky_rieke_republican,Kentucky,1.0,0.987,0.0001690000000000003,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_louisiana_rieke_republican,Louisiana,1.0,0.986,0.00019600000000000035,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_maine_rieke_republican,Maine,0.0,0.09,0.0081,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_maryland_rieke_republican,Maryland,0.0,0.0105,0.00011025000000000001,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_massachusetts_rieke_republican,Massachusetts,0.0,0.0075,5.625e-05,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_michigan_rieke_republican,Michigan,1.0,0.395,0.366025,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_minnesota_rieke_republican,Minnesota,0.0,0.105,0.011024999999999998,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_mississippi_rieke_republican,Mississippi,1.0,0.982,0.00032400000000000056,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_missouri_rieke_republican,Missouri,1.0,0.981,0.00036100000000000064,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_montana_rieke_republican,Montana,1.0,0.988,0.00014400000000000025,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_nebraska_rieke_republican,Nebraska,1.0,0.9865,0.00018224999999999882,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_nevada_rieke_republican,Nevada,1.0,0.625,0.140625,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_new_hampshire_rieke_republican,New Hampshire,0.0,0.175,0.030624999999999996,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_new_jersey_rieke_republican,New Jersey,0.0,0.0325,0.0010562500000000001,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_new_mexico_rieke_republican,New Mexico,0.0,0.095,0.009025,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_new_york_rieke_republican,New York,0.0,0.0175,0.00030625000000000004,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_north_carolina_rieke_republican,North Carolina,1.0,0.695,0.09302500000000002,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_north_dakota_rieke_republican,North Dakota,1.0,0.991,8.100000000000014e-05,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_ohio_rieke_republican,Ohio,1.0,0.925,0.005624999999999994,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_oklahoma_rieke_republican,Oklahoma,1.0,0.991,8.100000000000014e-05,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_oregon_rieke_republican,Oregon,0.0,0.016,0.000256,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_pennsylvania_rieke_republican,Pennsylvania,1.0,0.595,0.16402500000000003,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_rhode_island_rieke_republican,Rhode Island,0.0,0.012,0.000144,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_south_carolina_rieke_republican,South Carolina,1.0,0.971,0.0008410000000000015,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_south_dakota_rieke_republican,South Dakota,1.0,0.986,0.00019600000000000035,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_tennessee_rieke_republican,Tennessee,1.0,0.9835,0.0002722499999999987,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_texas_rieke_republican,Texas,1.0,0.95,0.0025000000000000044,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_utah_rieke_republican,Utah,1.0,0.983,0.0002890000000000005,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_vermont_rieke_republican,Vermont,0.0,0.0085,7.225000000000001e-05,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_virginia_rieke_republican,Virginia,0.0,0.11,0.0121,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_washington_rieke_republican,Washington,0.0,0.012,0.000144,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_west_virginia_rieke_republican,West Virginia,1.0,0.99,0.00010000000000000018,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
state_final_50,resolved_state_outcomes,polymarket_state_final_50,Polymarket state final,polymarket,us_2024_president_wisconsin_rieke_republican,Wisconsin,1.0,0.465,0.2862249999999999,True,Polymarket market probability nearest forecast time.,h1_rieke_state_forecast_cases.csv,"State outcomes share one election context; this is a calibration diagnostic, not independent national elections."
