collector_received_at_utc,source_timestamp_utc,bucket_start_utc,bucket_end_utc,timestamp_source,bucket_status,source_class,source_name,market_id,token_id,price,midpoint,best_bid,best_ask,spread,volume,open_interest
2026-05-22T14:50:42Z,,2026-05-22T14:45:00Z,2026-05-22T14:50:00Z,collector,closed,market_state,polymarket_live_clob_midpoint,0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,32338220190071351435772801779725302244575775216413325951443816017994629993401,0.0645,0.0645,,,,,
2026-05-22T14:50:42Z,,2026-05-22T14:45:00Z,2026-05-22T14:50:00Z,collector,closed,market_state,polymarket_live_clob_midpoint,0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,25659310674993675562345759665114759892400026242514633218387667107987341231962,0.9355,0.9355,,,,,
2026-05-22T14:50:42Z,,2026-05-22T14:45:00Z,2026-05-22T14:50:00Z,collector,closed,market_state,polymarket_live_clob_midpoint,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,54533043819946592547517511176940999955633860128497669742211153063842200957669,0.2405,0.2405,,,,,
2026-05-22T14:50:42Z,,2026-05-22T14:45:00Z,2026-05-22T14:50:00Z,collector,closed,market_state,polymarket_live_clob_midpoint,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,87854174148074652060467921081181402357467303721471806610111179101805869578687,0.7595,0.7595,,,,,
2026-05-22T14:50:42Z,,2026-05-22T14:45:00Z,2026-05-22T14:50:00Z,collector,closed,market_state,polymarket_live_clob_midpoint,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,107064985435494333113391038470401719113272800530429703182710416066774068907304,0.0895,0.0895,,,,,
2026-05-22T14:50:42Z,,2026-05-22T14:45:00Z,2026-05-22T14:50:00Z,collector,closed,market_state,polymarket_live_clob_midpoint,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,65176072261324737856085688071627118509549293922582857186996392180609764586527,0.9105,0.9105,,,,,
2026-05-22T14:55:36Z,,2026-05-22T14:50:00Z,2026-05-22T14:55:00Z,collector,closed,market_state,polymarket_live_clob_midpoint,0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,32338220190071351435772801779725302244575775216413325951443816017994629993401,0.0645,0.0645,,,,,
2026-05-22T14:55:36Z,,2026-05-22T14:50:00Z,2026-05-22T14:55:00Z,collector,closed,market_state,polymarket_live_clob_midpoint,0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,25659310674993675562345759665114759892400026242514633218387667107987341231962,0.9355,0.9355,,,,,
2026-05-22T14:55:36Z,,2026-05-22T14:50:00Z,2026-05-22T14:55:00Z,collector,closed,market_state,polymarket_live_clob_midpoint,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,54533043819946592547517511176940999955633860128497669742211153063842200957669,0.2405,0.2405,,,,,
2026-05-22T14:55:36Z,,2026-05-22T14:50:00Z,2026-05-22T14:55:00Z,collector,closed,market_state,polymarket_live_clob_midpoint,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,87854174148074652060467921081181402357467303721471806610111179101805869578687,0.7595,0.7595,,,,,
