source_id,source_label,state,forecast_date,case_id,days_to_election,outcome_value,forecast_probability,brier_loss,row_unit,limitation
poll_derived,538 poll-derived,Arizona,2024-08-07,us_2024_arizona_2024-08-07_rep_panel,90,1.0,0.5957971976338791,0.1633799054406254,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-08,us_2024_arizona_2024-08-08_rep_panel,89,1.0,0.5373300151606445,0.2140635148712494,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-09,us_2024_arizona_2024-08-09_rep_panel,88,1.0,0.5364917752381724,0.2148398744218609,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-10,us_2024_arizona_2024-08-10_rep_panel,87,1.0,0.4911759968489342,0.2589018661826758,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-11,us_2024_arizona_2024-08-11_rep_panel,86,1.0,0.4989152347508992,0.2510859419647465,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-12,us_2024_arizona_2024-08-12_rep_panel,85,1.0,0.4743894820158988,0.2762664166155151,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-13,us_2024_arizona_2024-08-13_rep_panel,84,1.0,0.4781857133007891,0.2722901498034063,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-14,us_2024_arizona_2024-08-14_rep_panel,83,1.0,0.4443393784724846,0.3087587263163447,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-15,us_2024_arizona_2024-08-15_rep_panel,82,1.0,0.4213782633024688,0.3348031141788672,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-16,us_2024_arizona_2024-08-16_rep_panel,81,1.0,0.4514275951014208,0.3009316834162107,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-17,us_2024_arizona_2024-08-17_rep_panel,80,1.0,0.3957706204050124,0.3650931431657436,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-18,us_2024_arizona_2024-08-18_rep_panel,79,1.0,0.3913890130738885,0.3704073334071754,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-19,us_2024_arizona_2024-08-19_rep_panel,78,1.0,0.4369338938684193,0.3170434398741805,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
poll_derived,538 poll-derived,Arizona,2024-08-20,us_2024_arizona_2024-08-20_rep_panel,77,1.0,0.4400708122882816,0.3135206952515048,state_date_forecast_pair_within_90_days,"Rows are repeated forecasts inside one election context, not independent elections."
