scope_id,unit_type,unit_id,state,forecast_month,horizon_bin,horizon_label,competitiveness_tier,competitiveness_label,row_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_better_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage,aggregate_mean_supports_polymarket,majority_rows_support_polymarket,aggregate_mean_supports_poll_derived,majority_rows_support_poll_derived,row_unit,limitation
late_low_middle_poll_distance,state,Arizona,Arizona,,,61-90 days,,Low distance,37,36,1,0,0.972972972972973,0.1964229729729729,0.27927462669012704,0.08285165371715414,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state,Florida,Florida,,,61-90 days,,Middle distance,31,21,10,0,0.6774193548387096,0.027410483870967735,0.0341256954291615,0.006715211558193768,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state,Georgia,Georgia,,,61-90 days,,Low distance,37,32,5,0,0.8648648648648649,0.17729189189189185,0.23249233779966616,0.055200445907774315,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state,Michigan,Michigan,,,61-90 days,,Low distance,37,37,0,0,1.0,0.3727297297297297,0.5001433396863701,0.12741360995664047,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state,Nevada,Nevada,,,61-90 days,,Low distance,34,27,7,0,0.7941176470588235,0.2402941176470587,0.28866256035108195,0.04836844270402324,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state,North Carolina,North Carolina,,,61-90 days,,Low distance,32,32,0,0,1.0,0.15630468749999998,0.22753189855096131,0.07122721105096133,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state,Pennsylvania,Pennsylvania,,,61-90 days,,Low distance,37,37,0,0,1.0,0.25738648648648643,0.3692757633175612,0.11188927683107475,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state,Texas,Texas,,,0-60 days,,Middle distance,3,3,0,0,1.0,0.017016666666666635,0.0300035441955712,0.012986877528904567,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state,Wisconsin,Wisconsin,,,61-90 days,,Low distance,37,37,0,0,1.0,0.3215385135135134,0.5498990004191333,0.22836048690561989,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Arizona|2024-08,Arizona,2024-08,,61-90 days,,Low distance,25,24,1,0,0.96,0.21521799999999996,0.30687836221012343,0.09166036221012347,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Arizona|2024-09,Arizona,2024-09,,61-90 days,,Low distance,12,12,0,0,1.0,0.15726666666666667,0.2217668443568012,0.06450017769013452,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Florida|2024-08,Florida,2024-08,,61-90 days,,Middle distance,19,13,6,0,0.6842105263157895,0.028731578947368414,0.035051367466900595,0.006319788519532181,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Florida|2024-09,Florida,2024-09,,61-90 days,,Middle distance,12,8,4,0,0.6666666666666666,0.025318749999999998,0.03266004803607463,0.007341298036074636,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Georgia|2024-08,Georgia,2024-08,,61-90 days,,Low distance,25,20,5,0,0.8,0.180495,0.21984948649143235,0.03935448649143236,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Georgia|2024-09,Georgia,2024-09,,61-90 days,,Low distance,12,12,0,0,1.0,0.17061875,0.2588316113584865,0.08821286135848647,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Michigan|2024-08,Michigan,2024-08,,61-90 days,,Low distance,25,25,0,0,1.0,0.39315200000000006,0.5274770879382651,0.13432508793826503,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Michigan|2024-09,Michigan,2024-09,,61-90 days,,Low distance,12,12,0,0,1.0,0.33018333333333333,0.44319803082825593,0.1130146974949226,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Nevada|2024-08,Nevada,2024-08,,61-90 days,,Low distance,22,15,7,0,0.6818181818181818,0.24600909090909084,0.2854570735600755,0.03944798265098465,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Nevada|2024-09,Nevada,2024-09,,61-90 days,,Low distance,12,12,0,0,1.0,0.22981666666666659,0.29453928613459396,0.06472261946792737,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,North Carolina|2024-08,North Carolina,2024-08,,61-90 days,,Low distance,20,20,0,0,1.0,0.15661250000000002,0.22718867302770565,0.07057617302770564,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,North Carolina|2024-09,North Carolina,2024-09,,61-90 days,,Low distance,12,12,0,0,1.0,0.15579166666666666,0.22810394108972076,0.0723122744230541,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
late_low_middle_poll_distance,state_month,Pennsylvania|2024-08,Pennsylvania,2024-08,,61-90 days,,Low distance,25,25,0,0,1.0,0.27474599999999993,0.3893720283877658,0.11462602838776587,True,True,False,False,aggregated_state_date_forecast_rows,"Aggregated units reduce repeated daily rows but remain one election context, not independent elections."
