source_id,source_label,source_family,source_artifact,case_id,state,outcome_value,polymarket_probability,comparator_probability,polymarket_brier,comparator_brier,loss_advantage,lower_loss_source,allowed_interpretation,limitation
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_arizona_republican,Arizona,1.0,0.605,0.5494078951568299,0.156025,0.2030332449469984,0.0470082449469984,polymarket,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_california_republican,California,0.0,0.0185,2.654882269581549e-07,0.0003422499999999,7.048399865338475e-14,-0.000342249999929416,comparator,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_florida_republican,Florida,1.0,0.83,0.8049532058894451,0.0289,0.0380432518928052,0.0091432518928052,polymarket,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_georgia_republican,Georgia,1.0,0.585,0.543496785533558,0.172225,0.2083951848181943,0.03617018481819431,polymarket,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_michigan_republican,Michigan,1.0,0.42,0.360345188871178,0.3364000000000001,0.4091582774002488,0.0727582774002487,polymarket,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_minnesota_republican,Minnesota,0.0,0.075,0.0669852541231745,0.005625,0.0044870242699462,-0.0011379757300537998,comparator,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_nevada_republican,Nevada,1.0,0.505,0.4748785207945448,0.245025,0.2757525679229254,0.030727567922925414,polymarket,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_new_hampshire_republican,New Hampshire,0.0,0.145,0.0818191993541129,0.021025,0.006694381382948,-0.014330618617052,comparator,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_north_carolina_republican,North Carolina,1.0,0.595,0.4751794865963569,0.164025,0.2754365712892634,0.1114115712892634,polymarket,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_ohio_republican,Ohio,1.0,0.91,0.9683700072791614,0.0080999999999999,0.0010004564395202,-0.007099543560479701,comparator,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_pennsylvania_republican,Pennsylvania,1.0,0.515,0.4285034980099084,0.235225,0.3266082517869108,0.09138325178691079,polymarket,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_texas_republican,Texas,1.0,0.855,0.8955573882673938,0.021025,0.0109082591455279,-0.010116740854472098,comparator,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_wisconsin_republican,Wisconsin,1.0,0.415,0.2698284979049,0.3422249999999999,0.5331504224718145,0.19092542247181465,polymarket,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_alabama_rieke_republican,Alabama,1.0,0.9875,0.9969,0.0001562499999999,9.609999999999949e-06,-0.00014663999999990006,comparator,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_alaska_rieke_republican,Alaska,1.0,0.955,0.9749,0.002025,0.0006300099999999,-0.0013949900000000998,comparator,Cross-source state-level lower-loss diagnostic for existing H1 Polymarket-vs-traditional comparison artifacts.,Rows reuse one 2024 presidential election context and source outputs are not independent elections.
