timestamp_utc,wallet,outcome,size,price,usd
2025-12-15T06:14:45+00:00,0xef8310e2a2c1ea0be7c009216c5fce70ee8a96ec,No,22752.676586,0.8348450753,18994.96
2025-12-19T10:07:28+00:00,0xef8310e2a2c1ea0be7c009216c5fce70ee8a96ec,No,41900.172856,0.8349249565,34983.5
2025-12-20T12:51:42+00:00,0x3eba55f41f4064bc4b070d06a00fec7c2dd5849a,No,17076.57,0.89,15198.15
2025-12-30T07:15:25+00:00,0xc07b56fac50ce1350a8bdaa03b928a3a5ae63c12,No,12000,0.91,10920.0
2025-12-30T09:09:23+00:00,0xef8310e2a2c1ea0be7c009216c5fce70ee8a96ec,No,86505.918716,0.9328101613,80693.6
2026-01-01T09:08:03+00:00,0x3eba55f41f4064bc4b070d06a00fec7c2dd5849a,No,32663.3,0.93,30376.87
2026-01-01T20:03:41+00:00,0x9bccc0b7c297b218fd854b28cf5ec290d01e39eb,No,20000,0.95,19000.0
2026-01-01T23:00:57+00:00,0x3eba55f41f4064bc4b070d06a00fec7c2dd5849a,No,32000,0.95,30400.0
2026-01-02T23:58:41+00:00,0xf5cfe6f998d597085e366f915b140e82e0869fc6,No,12888,0.93,11985.84
2026-01-03T04:41:57+00:00,0xce71bed9dd1418abc34d244730879d795e8683bc,No,15848.68,0.9,14263.81
2026-01-03T06:15:41+00:00,0x845495d7ed85c81dd58840d52db15a1dcd4931e1,Yes,45028.76,0.5104572522,22985.26
2026-01-03T07:06:35+00:00,0x09d600cfc7437488da4892884c51843f244e0fda,Yes,19419.82,0.6619011299,12854.0
2026-01-03T07:06:45+00:00,0xf33030be9f7af03b61a4520fe449c50a4cfcf779,Yes,20203.841732,0.7424330579,15000.0
2026-01-03T07:27:25+00:00,0x090a0d3fc9d68d3e16db70e3460e3e4b510801b4,No,22254.82,0.4592857098,10221.32
2026-01-03T07:27:29+00:00,0x090a0d3fc9d68d3e16db70e3460e3e4b510801b4,No,29886.42,0.45,13448.89
2026-01-03T08:15:57+00:00,0x75682c3fc188e2181f980494d2b8196d9c7adc4b,No,19402.741332,0.5966914572,11577.45
2026-01-03T08:16:07+00:00,0x858d551d073e9c647c17079ad9021de830201047,Yes,45000,0.4373918867,19682.63
2026-01-03T08:17:19+00:00,0x858d551d073e9c647c17079ad9021de830201047,Yes,44751.62,0.439767776,19680.32
2026-01-03T08:43:51+00:00,0xa9736e281441255fc815a65ae4f9ba4c0b77f0f6,No,58171.03,0.619300162,36025.33
2026-01-03T09:21:35+00:00,0x090a0d3fc9d68d3e16db70e3460e3e4b510801b4,Yes,78390.47,0.4178547507,32755.83
2026-01-03T09:21:37+00:00,0x090a0d3fc9d68d3e16db70e3460e3e4b510801b4,Yes,20966.63,0.4892059668,10257.0
2026-01-03T09:23:55+00:00,0x11e829d2a19e7ade935861fb043715766a015b74,Yes,27501.57,0.9480193894,26072.02
2026-01-03T09:24:41+00:00,0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,Yes,144851.96,0.9863334124,142872.33
2026-01-03T09:25:39+00:00,0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,Yes,21569.36,0.9805235575,21149.27
2026-01-03T09:30:49+00:00,0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,Yes,12420.7,0.9911593549,12310.89
2026-01-03T09:38:29+00:00,0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,Yes,19232.14,0.9889572341,19019.76
2026-01-03T09:38:39+00:00,0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,Yes,50000,0.99,49500.0
2026-01-03T09:38:43+00:00,0xc6dd722558dbfbd8fa780efcbe819ed8c6604b9f,Yes,54621.82,0.9899873986,54074.91
2026-01-03T09:39:23+00:00,0x59cd67a7a9bbede54516474bed6f3bf6069e92d2,Yes,150000,0.9899366243,148490.49
2026-01-03T09:49:29+00:00,0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,Yes,35552.63,0.9945703676,35359.59
2026-01-03T09:52:55+00:00,0x94cff0a688ca7b2e5b2602343c49bcd812123db3,Yes,14603.05,0.996,14544.64
2026-01-03T09:53:17+00:00,0x1604b15af9eab550175b268dd574a155c5ebff0e,Yes,30273.98,0.9967044994,30174.21
2026-01-03T09:55:25+00:00,0x1604b15af9eab550175b268dd574a155c5ebff0e,Yes,71674.65,0.9979107059,71524.9
2026-01-03T09:56:01+00:00,0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,Yes,45809.37,0.998,45717.75
2026-01-03T10:00:07+00:00,0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,Yes,30152,0.998,30091.7
2026-01-03T10:04:59+00:00,0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,Yes,79837.67,0.9967745717,79580.16
2026-01-03T10:10:43+00:00,0x6e8f80ca0cddb8d3f207dc5147ac0e6062ae162c,Yes,14469.57,0.993,14368.28
2026-01-03T10:12:45+00:00,0x1410b82dc78bf59c7490428eb26b1cc8153ba67d,Yes,11111,0.993,11033.22
2026-01-03T10:15:21+00:00,0x1604b15af9eab550175b268dd574a155c5ebff0e,Yes,22031.93,0.994,21899.74
2026-01-03T10:17:01+00:00,0x4d0e9b029700163625c551a0073636f3dc5ec45b,Yes,12175.76,0.996,12127.06
