scope_id,scope_label,unit_type,unit_label,unit_id,state,forecast_month,horizon_bin,horizon_label,competitiveness_tier,competitiveness_label,row_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_lower_loss_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage,aggregate_mean_supports_polymarket,aggregate_mean_supports_poll_derived,majority_rows_support_polymarket,majority_rows_support_poll_derived,row_unit,limitation
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,Arizona,Arizona,,,91-120 days,,Middle distance,57,36,21,0,0.631578947368421,0.16189210526315786,0.2006538833781006,0.038761778114942746,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,Florida,Florida,,,61-90 days,,Middle distance,31,21,10,0,0.6774193548387096,0.027410483870967735,0.0341256954291615,0.006715211558193768,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,Georgia,Georgia,,,91-120 days,,Middle distance,55,39,16,0,0.7090909090909091,0.1521727272727272,0.1853205516564031,0.03314782438367589,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,Michigan,Michigan,,,91-120 days,,Low distance,63,51,12,0,0.8095238095238095,0.31655317460317467,0.3988608923486242,0.08230771774544954,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,Minnesota,Minnesota,,,91-120 days,,Low distance,14,11,3,0,0.7857142857142857,0.12946607142857142,0.18678735510325475,0.05732128367468334,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,Nevada,Nevada,,,91-120 days,,Middle distance,48,27,21,0,0.5625,0.1913510416666666,0.21097419328154046,0.01962315161487385,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,North Carolina,North Carolina,,,91-120 days,,Middle distance,35,32,3,0,0.9142857142857143,0.14681142857142854,0.20911560988751263,0.06230418131608409,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,Pennsylvania,Pennsylvania,,,91-120 days,,Middle distance,59,39,20,0,0.6610169491525424,0.24187923728813557,0.2861071466556257,0.04422790936749013,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,Texas,Texas,,,0-60 days,,Middle distance,3,3,0,0,1.0,0.017016666666666635,0.0300035441955712,0.012986877528904567,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,Virginia,Virginia,,,91-120 days,,Low distance,11,7,4,0,0.6363636363636364,0.12137727272727274,0.11056290524991243,-0.01081436747736031,False,True,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state,State,Wisconsin,Wisconsin,,,91-120 days,,Low distance,57,47,10,0,0.8245614035087719,0.2747043859649122,0.4307127210604242,0.15600833509551199,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state_month,State-month,Arizona|2024-07,Arizona,2024-07,,91-120 days,,Middle distance,14,0,14,0,0.0,0.07494821428571427,0.028428548716792502,-0.04651966556892177,False,True,False,True,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state_month,State-month,Arizona|2024-08,Arizona,2024-08,,91-120 days,,Low distance,31,24,7,0,0.7741935483870968,0.20294758064516125,0.27026030768500087,0.06731272703983962,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state_month,State-month,Arizona|2024-09,Arizona,2024-09,,61-90 days,,Low distance,12,12,0,0,1.0,0.15726666666666667,0.2217668443568012,0.06450017769013452,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state_month,State-month,Florida|2024-08,Florida,2024-08,,61-90 days,,Middle distance,19,13,6,0,0.6842105263157895,0.028731578947368414,0.035051367466900595,0.006319788519532181,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state_month,State-month,Florida|2024-09,Florida,2024-09,,61-90 days,,Middle distance,12,8,4,0,0.6666666666666666,0.025318749999999998,0.03266004803607463,0.007341298036074636,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state_month,State-month,Georgia|2024-07,Georgia,2024-07,,91-120 days,,Middle distance,12,2,10,0,0.16666666666666666,0.07156874999999994,0.04375862863313925,-0.027810121366860695,False,True,False,True,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state_month,State-month,Georgia|2024-08,Georgia,2024-08,,91-120 days,,Low distance,31,25,6,0,0.8064516129032258,0.17623387096774185,0.21166282132911818,0.03542895036137633,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,state_month,State-month,Georgia|2024-09,Georgia,2024-09,,61-90 days,,Low distance,12,12,0,0,1.0,0.17061875,0.2588316113584865,0.08821286135848647,True,False,True,False,aggregated_state_date_forecast_rows,"Aggregated unit reduces repeated daily rows but remains one election context, not an independent election."
