scenario_type,scenario_id,removed_state_count,removed_states,remaining_state_count,mean_loss_advantage,supports_polymarket_mean,allowed_interpretation,limitation
full,all_states,0,,43,0.012179748962750443,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_alaska,1,Alaska,42,0.012466470024055003,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_arizona,1,Arizona,42,0.010828728828291313,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_arkansas,1,Arkansas,42,0.012470209211551111,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_california,1,California,42,0.01247598703329117,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_colorado,1,Colorado,42,0.012492990241633943,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_connecticut,1,Connecticut,42,0.012475834594934131,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_delaware,1,Delaware,42,0.012475463161149489,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_florida,1,Florida,42,0.012278221423918554,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_georgia,1,Georgia,42,0.011348336233536751,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_indiana,1,Indiana,42,0.012477455591653232,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_iowa,1,Iowa,42,0.012437595428385382,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_kansas,1,Kansas,42,0.011967508689922347,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_maine,1,Maine,42,0.01263425044821033,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_maryland,1,Maryland,42,0.012472367985673069,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_massachusetts,1,Massachusetts,42,0.012471082271387358,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_michigan,1,Michigan,42,0.010985516154213944,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_minnesota,1,Minnesota,42,0.012503702276146968,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_missouri,1,Missouri,42,0.012478322306789207,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_montana,1,Montana,42,0.01247317141005762,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_nebraska,1,Nebraska,42,0.012474066354408252,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_nevada,1,Nevada,42,0.011377582145204877,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
leave_one_state_out,without_new_hampshire,1,New Hampshire,42,0.012748049868953091,True,Outlier robustness diagnostic for equal-weight direct poll state clusters.,Scenario rows reuse the same 2024 election context and are not new independent outcomes.
